Id,GENDER,BIRTHDATE,DEATHDATE,AGE,AGE_BAND,ADDRESS,BIRTHPLACE,CITY,COUNTY,DRIVERS,ETHNICITY,FIPS,FIRST,HEALTHCARE_COVERAGE,HEALTHCARE_EXPENSES,INCOME,LAST,LAT,LON,MAIDEN,MARITAL,MIDDLE,PASSPORT,PREFIX,RACE,SSN,STATE,SUFFIX,ZIP
06eb6dda-a918-928f-76cf-6bf370cf2014,M,1944-05-17,,80.62422998,75–84,343 Wisozk Hollow,Braintree  Massachusetts  US,Saugus,Essex County,S99966085,nonhispanic,25009.0,Kenneth671,1769.8,17748.16,97576,Ritchie586,42.47477453992514,-70.99558658254415,,W,Vincent299,X26853568X,Mr.,white,999-92-3855,Massachusetts,,1906
06fe0fa1-aba9-b4f6-6231-5f41bd42492d,M,1960-01-06,,64.98562628,55–64,688 Yundt Camp Suite 41,Boston  Massachusetts  US,Northbridge,Worcester County,S99984925,nonhispanic,,Dong972,351.6,16298.36,37398,Borer986,42.144491802492,-71.66832803487107,,M,,X66033141X,Mr.,white,999-90-2097,Massachusetts,,0
080b069b-5108-46b6-ecef-6aacd3b9ef3f,M,1958-08-14,,66.38193018,65–74,314 Robel Quay,Lynn  Massachusetts  US,Wareham,Plymouth County,S99998867,nonhispanic,,Chester802,10286.76,6500.0,23280,Aufderhar910,41.806103226129906,-70.67818221486861,,M,Richie600,X63395243X,Mr.,white,999-85-1223,Massachusetts,,0
09570ca0-77fa-de46-54b5-14ac2040a62e,F,1941-10-02,,83.24709103,75–84,1060 Lesch Lane Unit 35,Sudbury  Massachusetts  US,Tewksbury,Middlesex County,S99915984,nonhispanic,,Kizzie166,1639.82,18281.96,152904,Bradtke547,42.61796390294728,-71.27668098461947,Collins926,D,,X6796942X,Mrs.,white,999-45-6482,Massachusetts,,0
13bbd9ac-5c42-f173-5411-4e30e7da9e8d,F,1998-07-10,,26.47775496,25–34,614 Wisoky Neck Suite 35,Lynn  Massachusetts  US,Springfield,Hampden County,S99922786,nonhispanic,25013.0,Zina602,8497.16,3100.0,12354,Klocko335,42.090036329132445,-72.59559123267172,Parisian75,M,Joyce806,X49126505X,Mrs.,black,999-19-5726,Massachusetts,,1104
17cb5ccc-4c1f-9747-f535-e57cd464679d,M,1944-04-28,,80.67624914,75–84,804 Nolan Haven,Millis  Massachusetts  US,Bridgewater,Plymouth County,S99982541,nonhispanic,25023.0,Jefferson174,1769.8,18006.17,97196,Dach178,41.92778005644695,-70.98367305461909,,M,Renaldo199,X2923960X,Mr.,white,999-74-5756,Massachusetts,,2324
18b101ed-6582-7193-5a1a-cac8e8de151c,M,1964-05-17,,60.62422998,55–64,359 Nitzsche Crossing,Watertown  Massachusetts  US,Westfield,Hampden County,S99978762,nonhispanic,25013.0,Ivory697,1261.2,16044.81,28203,Miller503,42.1084287062702,-72.72799251708312,,M,Sam879,X66625838X,Mr.,white,999-47-2612,Massachusetts,,1086
20526ee7-17ba-b863-b5f1-776defcde2e6,F,1976-11-14,,48.12867899,45–54,329 Wintheiser Viaduct Apt 34,Dighton  Massachusetts  US,Bourne,Barnstable County,S99996790,nonhispanic,25001.0,Sabra779,0.0,12148.36,413513,Hermann103,41.67614884377144,-70.5971448422042,,S,,X86832404X,Ms.,white,999-73-8834,Massachusetts,,2532
23c94034-f050-04d5-c5a3-2d42bf3ccc7f,F,1969-01-25,,55.93155373,55–64,800 Schmitt Boulevard Apt 23,Newton  Massachusetts  US,Cambridge,Middlesex County,S99929357,hispanic,25017.0,Talitha643,0.0,14058.76,182688,Bergnaum523,42.41303081195031,-71.10684163466209,,S,,X53669506X,Ms.,white,999-76-8806,Massachusetts,,2140
26aa011e-0d75-d1a3-3c5a-560a9450cc9d,M,1976-09-17,,48.28747433,45–54,791 Lindgren Passage Apt 87,Worcester  Massachusetts  US,Chelmsford,Middlesex County,S99995834,nonhispanic,,Jesse626,0.0,12148.36,66918,Wolf938,42.57094151779865,-71.39127180250473,,M,Roosevelt595,X27680731X,Mr.,white,999-88-4732,Massachusetts,,0
2bbd76b7-e9a4-0597-7752-c228b9ffe6c1,F,2000-02-12,,24.8843258,15–24,650 Olson Station,Boston  Massachusetts  US,Winthrop,Suffolk County,S99946729,nonhispanic,25025.0,Lois157,795.84,10522.74,193916,Nienow652,42.40104541253845,-71.02318625295315,,,,X84206938X,Ms.,black,999-80-3561,Massachusetts,,2128
2c167999-289d-95fa-5c27-7d8b8d35348c,M,1978-11-09,,46.14373717,45–54,257 Wiza Forge Suite 31,Lowell  Massachusetts  US,Revere,Suffolk County,S99990542,nonhispanic,25025.0,Eliseo499,1805.2,13465.59,28811,Nader710,42.42403681433789,-70.99809615810418,,M,Laverne101,X33628476X,Mr.,white,999-81-3939,Massachusetts,,2151
2d68ad16-268a-478c-1f84-d0f1976e1a46,M,1943-05-27,,81.59890486,75–84,686 Hilpert Annex,Danvers  Massachusetts  US,Quincy,Norfolk County,S99940156,nonhispanic,25021.0,Mauro926,1774.44,18016.32,103247,Braun514,42.25937201985332,-71.01258393031146,,M,Isaias604,X13498519X,Mr.,white,999-71-2318,Massachusetts,,2186
2de4dd0d-f665-8a2e-4c6b-997735e14ace,M,1984-07-29,,40.42436687,35–44,793 Mayert Lodge Unit 44,Worcester  Massachusetts  US,Williamstown,Berkshire County,S99977410,nonhispanic,25003.0,Aron520,7265.16,4200.0,21658,Hammes673,42.72551449334875,-73.2719383343828,,S,Gary33,X25851538X,Mr.,white,999-50-9887,Massachusetts,,1267
322ab5c6-5846-ac1e-38cc-48b8cb441e20,F,2000-11-02,,24.1615332,15–24,936 McKenzie Key Suite 0,Dedham  Massachusetts  US,Stoneham,Middlesex County,S99963569,nonhispanic,25017.0,Lena684,8240.0,2800.0,12730,Williamson769,42.44363878608946,-71.13029745210538,,,Charlott617,X8156756X,Ms.,white,999-64-4805,Massachusetts,,2180
3236b1f8-2bc1-3e38-c539-a29407c6a206,F,1991-10-21,,33.19644079,25–34,996 Ankunding Approach Apt 1,Boston  Massachusetts  US,Boston,Suffolk County,S99948226,nonhispanic,25025.0,Krysta658,0.0,11735.56,93722,Aufderhar910,42.30116263498911,-71.07327757358904,Barrows492,M,Leah288,X67898627X,Mrs.,white,999-15-6186,Massachusetts,,2136
35b353dd-402b-571a-d67a-af0a104d0854,M,1941-05-27,,83.59753593,75–84,823 Rohan Walk,Stoughton  Massachusetts  US,Stoneham,Middlesex County,S99992425,nonhispanic,25017.0,Jody426,1761.16,18031.2,164182,Monahan736,42.430415118201786,-71.11493016497893,,M,,X36614126X,Mr.,white,999-46-5496,Massachusetts,,2180
