Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
da0fad76-fb79-3029-b0c9-442411ea7f44,588f6ce6-b8db-3588-8189-29db2680a313,Tiffaney302 Brakus656,F,GENERAL PRACTICE,461 WALNUT AVE,JAMAICA PLAIN,MA,021302331,42.311587599999996,-71.09800136347226,53,0
f31b4b2d-2dd0-3737-8021-750720df55b9,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Ronald408 Emard19,F,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,2,0
93c45e04-9e5e-3266-a9db-2cbd606b8b64,71472d9b-aa5c-3b49-a5c3-d0eee8859015,Cuc113 Kutch271,F,GENERAL PRACTICE,118 WATERHOUSE RD STE C,BOURNE,MA,025328305,41.7281115,-70.5861571324252,39,0
c0a6ac9f-8706-3b56-bbf0-135ccbc20a8b,39104cad-5228-3e07-9b3e-3ad736b33d5d,Hilda552 Muller251,F,GENERAL PRACTICE,200 PROVIDENCE HWY,DEDHAM,MA,020261881,42.22214545274341,-71.18159060546684,34,0
ed759d5c-5457-3143-a359-6f7343a36a5b,f945589f-88aa-366b-9e9d-2418d091112d,Ulysses632 Ziemann98,M,GENERAL PRACTICE,105 ERDMAN WAY,LEOMINSTER,MA,014531805,42.54685255,-71.75737313871981,48,0
1bcac08d-8d2c-390f-b861-131b50411174,5fcff9db-16e4-3e56-aa78-abbc16338097,Marcus77 Schamberger479,M,GENERAL PRACTICE,295 VARNUM AVE,WESTFORD,MA,018863513,42.5792583,-71.4378411,4,0
79872305-e961-39fb-bbe8-78e4c52da982,40c01d75-1542-3e0b-8e5f-78d3031beba1,Broderick767 Reynolds644,M,GENERAL PRACTICE,505 PARADISE RD,SALEM,MA,019704267,42.485927,-70.900301,62,0
90d2b317-4a43-3745-ad8f-b2d608e02422,e49b692f-cccc-3cd5-93df-6db63dfc3e4a,Rolland302 Lemke654,M,GENERAL PRACTICE,1250 HANCOCK ST STE 104N,QUINCY,MA,02169,42.2517569,-71.0033967,72,0
0badd771-7972-3ddd-b391-5b4ab18e2f16,bf556284-7513-3620-a10e-5393183a9a87,Jesus702 Roob72,M,GENERAL PRACTICE,795 MIDDLE ST,FALL RIVER,MA,027211733,41.6924092,-71.16345107025307,7,0
69760d9b-a3a6-39e1-a7f0-0755f0d4a7e9,4ffa4412-1493-3beb-b8f0-6614dde953a4,Harland508 Ryan260,M,GENERAL PRACTICE,363 HIGHLAND AVENUE,WAREHAM,MA,025715011,41.745636,-70.658192,4,0
bd0b9fee-4521-3500-b468-0c178703d551,b6eeaaf7-1683-3bcb-b6ee-81ce304636ef,Ariane992 Pagac496,F,GENERAL PRACTICE,170 GOVERNORS AVE,MELROSE,MA,021763225,42.4564323,-71.064182,4,0
3c6a9f0a-6caf-3495-84d4-c31afb35cae8,d613e441-68e8-3502-8adb-3f770a1276bf,Emmaline88 Witting912,F,GENERAL PRACTICE,114 WATER ST,MILFORD,MA,017573007,42.13661855,-71.53474614336832,103,0
6ffee8ba-a43a-3e55-bd2a-f0a098c5cb71,de29a374-221b-3cb4-8051-a02c1a35e5b7,Morgan564 Marvin195,M,GENERAL PRACTICE,562 WASHINGTON ST,SOUTH ATTLEBORO,MA,027036942,41.912892049999996,-71.36135809627689,61,0
8ff2ce22-b6ba-3d0e-9021-d89e08507161,ace1ac31-036a-38fd-b451-b3b87157c717,Raphael767 Thompson596,M,GENERAL PRACTICE,170 MORTON ST,BOSTON,MA,021303735,42.299067750000006,-71.10124351911541,29,0
2f700eeb-19a7-33e0-8b47-6a16abe016ca,18061fd5-fda8-3e2d-87f0-0f3c87211bcc,Omer483 Koepp521,M,GENERAL PRACTICE,1493 CAMBRIDGE ST,SOMERVILLE,MA,021431408,42.3875968,-71.0994968,6,0
05517989-4114-32fa-a780-77006ee7d235,6cf8a214-8d57-3267-85e5-7719e15cd63e,Cindie288 Zulauf375,F,GENERAL PRACTICE,170 MORTON STREET,JAMAICA PLAIN,MA,021303735,42.299067750000006,-71.10124351911541,8,0
bb0ee1d2-18f4-33b5-a418-e9c9bcea1c3c,4bc0cc09-77e5-37f5-844d-64a6637cae54,Carlena776 Feil794,F,GENERAL PRACTICE,91 EAST MOUNTAIN ROAD,WESTFIELD,MA,010851801,42.110743549999995,-72.70066160206358,5,0
64ae694b-07be-361a-b311-65db14a8b3c4,0fedae9f-701f-3317-9b2f-69aea2202cdc,Willian804 Batz141,M,GENERAL PRACTICE,88 EAST NEWTON STREET,WINTHROP,MA,021522715,42.3750976,-70.982827,10,0
639f1124-4f3f-38c3-8672-4ec2619b48d6,981338c4-287c-3621-bc45-8b0b9f1b8922,Cari853 Kohler843,F,GENERAL PRACTICE,640 BOLTON ST,MARLBOROUGH,MA,017523999,42.3658183,-71.55914630258509,59,0
3f57f9fa-0114-37e9-9f79-320ca72ddeff,ecadbc11-930c-3903-b706-f8ef4bc9089e,Earlene410 Baumbach677,F,GENERAL PRACTICE,780 CHESTNUT ST,SPRINGFIELD,MA,011031109,42.1211633,-72.60614164702717,44,0
999d3f50-8bd3-3db8-a27e-ca724f1094ab,0fab3c4e-a028-39a6-b15a-be5a88b6aa2a,Miyoko154 Paucek755,F,GENERAL PRACTICE,222 STATE STREET,LUDLOW,MA,010563437,42.15547415,-72.47222226666076,10,0
9b2b1fdf-8cba-31bb-9fbd-c5e33e887fa8,3b021cb6-4745-3d9d-8436-230055f770bd,Dusty207 Franecki195,M,GENERAL PRACTICE,148 CHESTNUT ST,NEEDHAM,MA,024943238,42.27728075,-71.23665362814043,7,0
70647e03-456f-3750-941b-76d224d20786,00ffb204-07b4-3c72-a678-fa252e6cf86c,Alex454 Satterfield305,M,GENERAL PRACTICE,450 BEDFORD ST,LEXINGTON,MA,02420,42.47370735,-71.25090005,41,0
09a0fd14-dfd7-357d-a9e2-e21f41254c1d,ad82d624-72eb-3c7d-a76d-79f2668d1390,Mathew182 Howe413,M,GENERAL PRACTICE,3 WOODLAND RD,STONEHAM,MA,021801711,42.452443099999996,-71.08939988105112,74,0
88cb8fe9-aec3-366c-9a50-79e2b0c6f3e6,6170552c-4d27-3e64-8068-64a380f1837d,Jackelyn13 Pacocha935,F,GENERAL PRACTICE,76 SUMMER ST,HAVERHILL,MA,018305814,42.7786873,-71.07306505177553,7,0
acb83c5f-45bb-32c9-8f56-94097e68f62e,b9e35b8a-9831-32d8-a6dc-d7a546c126b0,Domenic627 Blick895,M,GENERAL PRACTICE,111 HUNTOON MEMORIAL HIGHWAY  1ST FLOOR,SPRINGFIELD,MA,011092550,42.1018764,-72.5886727,4,0
58d72cf9-d71a-3588-a2ff-c791aaeef96e,2f735290-1603-31b5-b561-7c8e0d413170,Jolynn62 Adams676,F,GENERAL PRACTICE,100 FOXBOROUGH BLVD STE 230,FOXBOROUGH,MA,020352878,42.041851949999995,-71.23486657070565,31,0
1b80f2e7-9e72-3ca6-8930-6066d283aaec,328f813e-4de8-3ec2-a113-43f3ddfb0b2a,Eldridge510 Roob72,M,GENERAL PRACTICE,30-40 WESTPARK STREET,BROCKTON,MA,023015241,42.0834335,-71.0183787,47,0
97b6ecac-8f5a-3ff3-b296-bf3afc85bc9c,dd3307db-114c-3f11-be44-a9eef6bb3fc5,Evelin941 Ratke343,F,GENERAL PRACTICE,269 UNION STREET,LYNN,MA,019011201,42.4652772,-70.94362420273097,149,0
c8237565-9366-312e-acc2-590618307cdf,5018c664-e283-30eb-932a-529d9a19b3b5,Numbers230 Stehr398,M,GENERAL PRACTICE,300 SOUTH ST,WOBURN,MA,018014979,42.473347,-71.144086,8,0
ebece357-d991-3c6c-9137-3d167f1425a5,2e8b42f8-4300-30a9-a576-d513d1021a0a,Chris95 Haag279,M,GENERAL PRACTICE,600 CLARK RD,TEWKSBURY,MA,018761699,42.63120935,-71.27023603178071,106,0
09646e80-de05-3c1f-a6de-468207140058,b53dc1b7-43b0-3c43-a73f-304165633a59,Junior695 Leffler128,M,GENERAL PRACTICE,63 MAIN ST,HYANNIS,MA,026013202,41.6562005,-70.27336188244256,32,0
2e143fe0-aed8-3b31-8a64-42587006c2c9,c7542447-e06e-32cb-b6db-243c23a0dbc2,Chantell995 Krajcik437,F,GENERAL PRACTICE,30 WARREN ST,BOSTON,MA,021353602,42.3501483,-71.14393324457691,2,0
c4431674-0668-3a18-a91e-88e821e57f21,50c47685-8125-3c50-8311-8bd7ba9e9108,Beth967 McKenzie376,F,GENERAL PRACTICE,4199 WASHINGTON ST,ROSLINDALE,MA,021311733,42.2871447,-71.1277526,47,0
5eb22834-18b0-3f11-b704-9a219fb4b0f5,9d2a1656-0f4d-30d1-bc63-eb365a05529c,Lorene243 Ward668,F,GENERAL PRACTICE,235 N PEARL ST,BROCKTON,MA,023011794,42.09805395,-71.0609587194362,1,0
ca095cb4-54b2-357a-8808-9dff0a170817,3fea2678-1991-3390-b5f1-ebe38f28888b,Jannet618 Buckridge80,F,GENERAL PRACTICE,135 WEBSTER ST,WEYMOUTH,MA,021901613,42.2212188,-70.9391625,51,0
f4935307-5bc7-385e-a448-78432831b4ea,eee00932-ca82-36bc-b7e8-e3fff6dbaeaa,Cira533 Hane680,F,GENERAL PRACTICE,450 BROOKLINE AVE,WEYMOUTH,MA,021893141,42.2212188,-70.9391625,2,0
77753b92-d8c7-38a1-a5ed-79d4c37173ea,6873525f-1680-3ceb-b536-270d44b46e2e,Lai148 Nicolas769,F,GENERAL PRACTICE,500 COLUMBIA RD,DORCHESTER,MA,021252322,42.3147979,-71.067633,33,0
c0ed8677-cb18-3a11-a204-ad74ecb493bd,f8918a95-31e8-3ac4-8d12-29ca6080ebda,Rudolf736 Vandervort697,M,GENERAL PRACTICE,199 REEDSDALE RD,MILTON,MA,021863926,42.251368299999996,-71.0768393856917,12,0
